Wellness Category;Question;Keyword Search Terms;;;;
Mental and Emotional Health;Does the institution have a well-being committee?;"""committee"" ""student-run"" ""student run"" ""panel""";;;;
Mental and Emotional Health;Does the institution offer counseling or therapy services?;"""counseling,"" ""therapy,"" ""mental health services""";;;;
Mental and Emotional Health;If counseling services are offered, are they free of cost to the student?;"""free,"" ""free of charge,"" ""no-cost,"" ""no cost,"" ""free of cost,"" ""cost""";;;;
Mental and Emotional Health;If counseling services are offered, does the institution provide a method of contact (i.e., phone number, email address, or individual)?;"""business hours,"" ""number,"" ""24/7""";;;;
Mental and Emotional Health;Does the institution offer mindfulness training or courses to students?;"""mindfulness,"" ""yoga,"" ""meditation""";;;;
Learning & Networking Environment;Does the institution sponsor academic learning communities?;"""learning community,"" ""mentor,"" ""communities""";;;;
Learning & Networking Environment;Does the institution sponsor identity-based communities or affinity groups?;"""affinity,"" ""networking,"" ""identity,"" ""interest,"" ""support,"" ""groups""";;;;
Learning & Networking Environment;Does the institution offer mentorship opportunities for students who are underrepresented in the field of medicine?;"""mentor,"" ""underrepresented,"" ""minority,"" ""minorities""";;;;
Interpersonal & Social Health;Does the institution host events that foster community-building, such as volunteering activities?;"""events,"" ""community-building,"" ""community building,"" ""volunteer""";;;;
Interpersonal & Social Health;Does the institution host official networking, mentorship, or career guidance events?;"""networking,"" ""mentor,"" ""career,"" ""connections""";;;;
Physical Health;Does the institution offer programs for physical activity or exercise?;"""physical,"" ""activity,"" ""physical activity,"" ""exercise,""";;;;
Physical Health;If the institution does offer physical activity programs, are they free or low-cost?;"""free,"" ""free of charge,"" ""no-cost,"" ""no cost,"" ""free of cost,"" ""cost""";;;;
Curricular Balance;Has the institution implemented a pass-fail grading system for the preclinical phase of student education?;"""pass-fail,"" ""P/F""";;;;
Curricular Balance;Does the institution offer collaborative learning opportunities?;"""collaborative,"" ""collaboration""";;;;
Curricular Balance;Does the institution have a designated attendance policy for students experiencing mental, physical, or emotional distress?;"""attendance,"" ""distress""";;;;
Curricular Balance;During students' clinical rotations, does the institution promote more longitudinal clinical rotation locations?;"""rotation(s),""";;;;
Curricular Balance;Does the institution integrate wellness competencies into its curriculum?;"""wellness competencies,"" ""wellness competency,"" ""objective""";;;;
Curricular Balance;Does the institution have quality of education measures for teaching faculty?;"""faculty,"" ""quality,"" ""instruction""";;;;
Availability of Wellness Resources & Institutional Mechanisms for Promoting Wellness;Does the institution have an Office of Student Wellbeing (or similar)?;"""office of wellbeing,"" ""office of wellness""";;;;
Availability of Wellness Resources & Institutional Mechanisms for Promoting Wellness;Does the institution have specific administrative personnel (i.e. Deans, Directors) whose responsibilities include oversight of student wellness programs and initiatives?;"""Dean of Student Life,"" ""Dean of Student Affairs,"" ""Dean of Medical Student Affairs,"" ""Director of Wellness""";;;;
Availability of Wellness Resources & Institutional Mechanisms for Promoting Wellness;If there are specific administrative personnel in charge of student wellness, is their contact information publicly available?;N/A;;;;
Availability of Wellness Resources & Institutional Mechanisms for Promoting Wellness;Does the institution have a publically available MD/DO resources webpage?;"""MD Resources,"" ""DO Resources""";;;;
Addressing Commonly Cited Barriers to Seeking Care;Does the institution offer academic accommodations (schedule rearrangements, attendance, etc.) to access wellness resources?;N/A;;;;
Addressing Commonly Cited Barriers to Seeking Care;Does the institution address confidentiality or privacy concerns students may have with seeking mental healthcare?;"""confidential,"" ""private,"" ""privacy""";;;;
Addressing Commonly Cited Barriers to Seeking Care;Does the institution address the academic repercussions that many students may see as a barrier to seeking mental healthcare?;N/A;;;;
Addressing Commonly Cited Barriers to Seeking Care;Does the institution address the stigma surrounding accessing mental health in the medical student community?;N/A;;;;
Addressing Commonly Cited Barriers to Seeking Care;Does the institution have provisions to address students' lack of time when accessing wellness resources?;"""time constraints""";;;;
